sample size and proportion,classifier,auc
200_1090,lr_tfidf,0.714285714
200_1090,nb_tfidf,0.785714286
200_1090,rf_tfidf,0.633928571
200_1090,dt_tfidf,0.482142857
200_1090,svc_tfidf,0.651785714
200_1090,lsvc_tfidf,0.669642857
200_1090,sgd_tfidf,0.6875
200_1090,knn_tfidf,0.446428571
200_1090,lr_w2v,0.821428571
200_2080,lr_tfidf,0.826923077
200_2080,nb_tfidf,0.814102564
200_2080,rf_tfidf,0.782051282
200_2080,dt_tfidf,0.756410256
200_2080,svc_tfidf,0.782051282
200_2080,lsvc_tfidf,0.814102564
200_2080,sgd_tfidf,0.820512821
200_2080,knn_tfidf,0.807692308
200_2080,lr_w2v,0.743589744
200_3070,lr_tfidf,0.845410628
200_3070,nb_tfidf,0.797101449
200_3070,rf_tfidf,0.888888889
200_3070,dt_tfidf,0.702898551
200_3070,svc_tfidf,0.816425121
200_3070,lsvc_tfidf,0.830917874
200_3070,sgd_tfidf,0.777777778
200_3070,knn_tfidf,0.821256039
200_3070,lr_w2v,0.579710145
200_4060,lr_tfidf,0.843137255
200_4060,nb_tfidf,0.819607843
200_4060,rf_tfidf,0.749019608
200_4060,dt_tfidf,0.694117647
200_4060,svc_tfidf,0.835294118
200_4060,lsvc_tfidf,0.839215686
200_4060,sgd_tfidf,0.756862745
200_4060,knn_tfidf,0.758823529
200_4060,lr_w2v,0.462745098
200_5050,lr_tfidf,0.777777778
200_5050,nb_tfidf,0.777777778
200_5050,rf_tfidf,0.865079365
200_5050,dt_tfidf,0.472222222
200_5050,svc_tfidf,0.78968254
200_5050,lsvc_tfidf,0.777777778
200_5050,sgd_tfidf,0.73015873
200_5050,knn_tfidf,0.708333333
200_5050,lr_w2v,0.464285714
400_1090,lr_tfidf,0.959677419
400_1090,nb_tfidf,0.911290323
400_1090,rf_tfidf,0.870967742
400_1090,dt_tfidf,0.475806452
400_1090,svc_tfidf,0.951612903
400_1090,lsvc_tfidf,0.959677419
400_1090,sgd_tfidf,0.967741935
400_1090,knn_tfidf,0.935483871
400_1090,lr_w2v,0.935483871
400_2080,lr_tfidf,0.868518519
400_2080,nb_tfidf,0.835185185
400_2080,rf_tfidf,0.740740741
400_2080,dt_tfidf,0.657407407
400_2080,svc_tfidf,0.896296296
400_2080,lsvc_tfidf,0.881481481
400_2080,sgd_tfidf,0.898148148
400_2080,knn_tfidf,0.875
400_2080,lr_w2v,0.77962963
400_3070,lr_tfidf,0.78097622
400_3070,nb_tfidf,0.749687109
400_3070,rf_tfidf,0.763454318
400_3070,dt_tfidf,0.531914894
400_3070,svc_tfidf,0.790988736
400_3070,lsvc_tfidf,0.788485607
400_3070,sgd_tfidf,0.775969962
400_3070,knn_tfidf,0.731539424
400_3070,lr_w2v,0.723404255
400_4060,lr_tfidf,0.750830565
400_4060,nb_tfidf,0.810631229
