sample size and proportion,auc
200_1090,0.5
200_2080,0.5
200_3070,0.5
200_4060,0.59375
200_5050,0.598465473
400_1090,0.5
400_2080,0.5
400_3070,0.64322692
400_4060,0.671428571
400_5050,0.575
500_1090,0.5
500_2080,0.592917479
500_3070,0.522840344
500_4060,0.616584565
500_5050,0.670134639
600_1090,0.5
600_2080,0.516129032
600_3070,0.506666667
600_4060,0.665275995
600_5050,0.695286195
800_1090,0.5
800_2080,0.56738223
800_3070,0.691763192
800_4060,0.724488201
800_5050,0.725003912
1000_1090,0.5
1000_2080,0.5
1000_3070,0.728817859
1000_4060,0.732480818
1000_5050,0.718463598
2000_1090,0.587480438
2000_2080,0.731082057
2000_3070,0.72387798
2000_4060,0.742037395
2000_5050,0.777360944
3000_1090,0.578913533
3000_2080,0.703868878
3000_3070,0.747058572
3000_4060,0.760688404
3000_5050,0.764628119
4000_1090,0.597648362
4000_2080,0.727783776
4000_3070,0.785363759
4000_4060,0.794270833
4000_5050,0.795966229
5000_1090,0.684726704
5000_2080,0.718414183
5000_3070,0.785496355
5000_4060,0.796309541
5000_5050,0.830018152
5000_595,0.58254089
5000_199,0.5
4000_595,0.542159423
4000_199,0.5
3000_595,0.586607143
3000_199,0.5
2000_595,0.625
2000_199,0.5
1000_595,0.5
1000_199,0.5
800_595,0.5
800_199,0.5
600_595,0.5
600_199,0.5
500_595,0.5
500_199,0.5
400_595,0.5
400_199,
200_595,0.5
200_199,
