sample size and proportion,f1-lowerCI-upperCI-SE
200_1090,0.854140182
200_1090,0.711111111
200_1090,0.962658228
200_1090,0.067149975
200_2080,0.633179624
200_2080,0.45
200_2080,0.781081081
200_2080,0.090202178
200_3070,0.45379436
200_3070,0.279310345
200_3070,0.60942029
200_3070,0.089915082
200_4060,0.611636384
200_4060,0.441954102
200_4060,0.763562931
200_4060,0.081299042
200_5050,0.602042254
200_5050,0.466389869
200_5050,0.751918159
200_5050,0.07379333
400_1090,0.818240532
400_1090,0.711111111
400_1090,0.907258065
400_1090,0.051342389
400_2080,0.610859365
400_2080,0.496374046
400_2080,0.728448276
400_2080,0.065143866
400_3070,0.763615311
400_3070,0.649851904
400_3070,0.862214201
400_3070,0.056059985
400_4060,0.682725068
400_4060,0.577125598
400_4060,0.781986078
400_4060,0.051795997
400_5050,0.539100646
400_5050,0.407240816
400_5050,0.668970166
400_5050,0.065968114
500_1090,0.721536163
500_1090,0.616069364
500_1090,0.831374704
500_1090,0.055007657
500_2080,0.790117668
500_2080,0.688760595
500_2080,0.876228942
500_2080,0.048029905
500_3070,0.573560547
500_3070,0.460263158
500_3070,0.692916667
500_3070,0.061472364
500_4060,0.622131456
500_4060,0.516400448
500_4060,0.711065682
500_4060,0.049319667
500_5050,0.64866108
500_5050,0.561574528
500_5050,0.739023897
500_5050,0.047725526
600_1090,0.813567278
600_1090,0.734250765
600_1090,0.888961039
600_1090,0.041829994
600_2080,0.648344774
600_2080,0.544775448
600_2080,0.765221018
600_2080,0.056570096
600_3070,0.512188712
600_3070,0.396299658
600_3070,0.616
600_3070,0.054654137
600_4060,0.669103703
600_4060,0.58019887
600_4060,0.755370415
600_4060,0.044912432
600_5050,0.70464207
600_5050,0.625045576
600_5050,0.783333333
600_5050,0.040929311
800_1090,0.818057328
800_1090,0.745890411
800_1090,0.888961039
800_1090,0.037560443
800_2080,0.690122138
800_2080,0.608370952
800_2080,0.785917424
800_2080,0.045903662
800_3070,0.773397979
800_3070,0.705203242
800_3070,0.841589403
800_3070,0.036707603
800_4060,0.722014313
800_4060,0.649468182
800_4060,0.793438365
800_4060,0.037238235
800_5050,0.722305391
800_5050,0.653022753
800_5050,0.796803127
800_5050,0.036841213
1000_1090,0.860749866
1000_1090,0.802386059
1000_1090,0.910927835
1000_1090,0.02857505
1000_2080,0.738059878
1000_2080,0.663144476
1000_2080,0.809518717
1000_2080,0.03905869
1000_3070,0.794539587
1000_3070,0.735842815
1000_3070,0.847942435
1000_3070,0.028563046
1000_4060,0.739897989
1000_4060,0.681267834
1000_4060,0.801940156
1000_4060,0.030596391
1000_5050,0.729956448
1000_5050,0.670922252
1000_5050,0.783463734
1000_5050,0.0296241
2000_1090,0.873979486
2000_1090,0.832201087
2000_1090,0.913102287
2000_1090,0.021073551
2000_2080,0.82516838
2000_2080,0.786364164
2000_2080,0.867851061
2000_2080,0.020459364
2000_3070,0.780772925
2000_3070,0.740836245
2000_3070,0.822836933
2000_3070,0.021077737
2000_4060,0.745018615
2000_4060,0.703731278
2000_4060,0.786274819
2000_4060,0.020197425
2000_5050,0.776377662
2000_5050,0.733861711
2000_5050,0.816149184
2000_5050,0.020706927
3000_1090,0.88512822
3000_1090,0.854343304
3000_1090,0.914662001
3000_1090,0.0152728
3000_2080,0.833443016
3000_2080,0.797578585
3000_2080,0.865397653
3000_2080,0.017258839
3000_3070,0.798165847
3000_3070,0.764028363
3000_3070,0.828315659
3000_3070,0.016583321
3000_4060,0.766425997
3000_4060,0.733824575
3000_4060,0.798606855
3000_4060,0.017258159
3000_5050,0.761856681
3000_5050,0.73001256
3000_5050,0.796273427
3000_5050,0.017491888
4000_1090,0.87958228
4000_1090,0.852820338
4000_1090,0.904570156
4000_1090,0.013212865
4000_2080,0.842550599
4000_2080,0.817138741
4000_2080,0.866831145
4000_2080,0.012887331
4000_3070,0.813032245
4000_3070,0.784415808
4000_3070,0.841162409
4000_3070,0.014452567
4000_4060,0.806786406
4000_4060,0.778259676
4000_4060,0.831730805
4000_4060,0.013088837
4000_5050,0.792504268
4000_5050,0.761673695
4000_5050,0.8215652
4000_5050,0.015212693
5000_1090,0.91264428
5000_1090,0.89202792
5000_1090,0.931253362
5000_1090,0.010408116
5000_2080,0.849377258
5000_2080,0.823347655
5000_2080,0.871986368
5000_2080,0.012274452
5000_3070,0.817641379
5000_3070,0.791948069
5000_3070,0.841734302
5000_3070,0.012597371
5000_4060,0.799713799
5000_4060,0.775399634
5000_4060,0.826161729
5000_4060,0.013102437
5000_5050,0.825271458
5000_5050,0.80199862
5000_5050,0.849466037
5000_5050,0.012344122
5000_595,0.940370617
5000_595,0.922637177
5000_595,0.956641728
5000_595,0.008816565
5000_199,0.985239969
5000_199,0.976064516
5000_199,0.994004008
5000_199,0.004741905
4000_595,0.942719775
4000_595,0.921696738
4000_595,0.961879943
4000_595,0.00994449
4000_199,0.979576144
4000_199,0.966378003
4000_199,0.990634796
4000_199,0.006084562
3000_595,0.924609524
3000_595,0.898197919
3000_595,0.949416331
3000_595,0.013279114
3000_199,0.979941198
3000_199,0.965137718
3000_199,0.992506266
3000_199,0.007214028
2000_595,0.970070551
2000_595,0.947142721
2000_595,0.987525253
2000_595,0.01049727
2000_199,0.977842272
2000_199,0.956992231
2000_199,0.992506266
2000_199,0.009083917
1000_595,0.963491226
1000_595,0.933017903
1000_595,0.992506266
1000_595,0.015911779
1000_199,0.978784048
1000_199,0.947811705
1000_199,1
1000_199,0.012616326
800_595,0.916995454
800_595,0.861680328
800_595,0.962658228
800_595,0.02493171
800_199,0.98128958
800_199,0.953373016
800_199,1
800_199,0.012848511
600_595,0.912352804
600_595,0.846316079
600_595,0.975070028
600_595,0.031608437
600_199,0.975529319
600_199,0.937943262
600_199,1
600_199,0.017788834
500_595,0.969023987
500_595,0.925641026
500_595,1
500_595,0.021682618
500_199,0.983949725
500_199,0.940408163
500_199,1
500_199,0.016334107
400_595,0.980990619
400_595,0.94410828
400_595,1
400_595,0.018006917
400_199,1
400_199,1
400_199,1
400_199,0
200_595,0.929103348
200_595,0.816666667
200_595,1
200_595,0.05364789
200_199,1
200_199,1
200_199,1
200_199,0
