sample size and proportion,classifier,metric,precision,recall,f1-score,support
200_1090,lr_tfidf,0,0,0,0,4
200_1090,lr_tfidf,1,0.875,1,0.933333333,28
200_1090,lr_tfidf,accuracy,0.875,0.875,0.875,0.875
200_1090,lr_tfidf,macro avg,0.4375,0.5,0.466666667,32
200_1090,lr_tfidf,weighted avg,0.765625,0.875,0.816666667,32
200_1090,nb_tfidf,0,0,0,0,4
200_1090,nb_tfidf,1,0.875,1,0.933333333,28
200_1090,nb_tfidf,accuracy,0.875,0.875,0.875,0.875
200_1090,nb_tfidf,macro avg,0.4375,0.5,0.466666667,32
200_1090,nb_tfidf,weighted avg,0.765625,0.875,0.816666667,32
200_1090,rf_tfidf,0,0,0,0,4
200_1090,rf_tfidf,1,0.875,1,0.933333333,28
200_1090,rf_tfidf,accuracy,0.875,0.875,0.875,0.875
200_1090,rf_tfidf,macro avg,0.4375,0.5,0.466666667,32
200_1090,rf_tfidf,weighted avg,0.765625,0.875,0.816666667,32
200_1090,dt_tfidf,0,0,0,0,4
200_1090,dt_tfidf,1,0.870967742,0.964285714,0.915254237,28
200_1090,dt_tfidf,accuracy,0.84375,0.84375,0.84375,0.84375
200_1090,dt_tfidf,macro avg,0.435483871,0.482142857,0.457627119,32
200_1090,dt_tfidf,weighted avg,0.762096774,0.84375,0.800847458,32
200_1090,svc_tfidf,0,0,0,0,4
200_1090,svc_tfidf,1,0.875,1,0.933333333,28
200_1090,svc_tfidf,accuracy,0.875,0.875,0.875,0.875
200_1090,svc_tfidf,macro avg,0.4375,0.5,0.466666667,32
200_1090,svc_tfidf,weighted avg,0.765625,0.875,0.816666667,32
200_1090,lsvc_tfidf,0,0,0,0,4
200_1090,lsvc_tfidf,1,0.875,1,0.933333333,28
200_1090,lsvc_tfidf,accuracy,0.875,0.875,0.875,0.875
200_1090,lsvc_tfidf,macro avg,0.4375,0.5,0.466666667,32
200_1090,lsvc_tfidf,weighted avg,0.765625,0.875,0.816666667,32
200_1090,sgd_tfidf,0,0,0,0,4
200_1090,sgd_tfidf,1,0.875,1,0.933333333,28
200_1090,sgd_tfidf,accuracy,0.875,0.875,0.875,0.875
200_1090,sgd_tfidf,macro avg,0.4375,0.5,0.466666667,32
200_1090,sgd_tfidf,weighted avg,0.765625,0.875,0.816666667,32
200_1090,knn_tfidf,0,0,0,0,4
200_1090,knn_tfidf,1,0.875,1,0.933333333,28
200_1090,knn_tfidf,accuracy,0.875,0.875,0.875,0.875
200_1090,knn_tfidf,macro avg,0.4375,0.5,0.466666667,32
200_1090,knn_tfidf,weighted avg,0.765625,0.875,0.816666667,32
200_1090,lr_w2v,0,0,0,0,4
200_1090,lr_w2v,1,0.875,1,0.933333333,28
200_1090,lr_w2v,accuracy,0.875,0.875,0.875,0.875
200_1090,lr_w2v,macro avg,0.4375,0.5,0.466666667,32
200_1090,lr_w2v,weighted avg,0.765625,0.875,0.816666667,32
200_2080,lr_tfidf,0,0.4,0.333333333,0.363636364,6
200_2080,lr_tfidf,1,0.851851852,0.884615385,0.867924528,26
200_2080,lr_tfidf,accuracy,0.78125,0.78125,0.78125,0.78125
200_2080,lr_tfidf,macro avg,0.625925926,0.608974359,0.615780446,32
200_2080,lr_tfidf,weighted avg,0.76712963,0.78125,0.773370497,32
200_2080,nb_tfidf,0,0,0,0,6
200_2080,nb_tfidf,1,0.8125,1,0.896551724,26
200_2080,nb_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_2080,nb_tfidf,macro avg,0.40625,0.5,0.448275862,32
200_2080,nb_tfidf,weighted avg,0.66015625,0.8125,0.728448276,32
200_2080,rf_tfidf,0,0,0,0,6
200_2080,rf_tfidf,1,0.8125,1,0.896551724,26
200_2080,rf_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_2080,rf_tfidf,macro avg,0.40625,0.5,0.448275862,32
200_2080,rf_tfidf,weighted avg,0.66015625,0.8125,0.728448276,32
