sample size and proportion,classifier,metric,val
200_1090,lr_tfidf,f1_mean,0.818229255
200_1090,lr_tfidf,ci_lower,0.642857143
200_1090,lr_tfidf,ci_upper,0.953373016
200_1090,lr_tfidf,std,0.081866631
200_1090,nb_tfidf,f1_mean,0.816221324
200_1090,nb_tfidf,ci_lower,0.642857143
200_1090,nb_tfidf,ci_upper,0.953373016
200_1090,nb_tfidf,std,0.080372734
200_1090,rf_tfidf,f1_mean,0.812454489
200_1090,rf_tfidf,ci_lower,0.685307018
200_1090,rf_tfidf,ci_upper,0.953373016
200_1090,rf_tfidf,std,0.080331546
200_1090,dt_tfidf,f1_mean,0.798385075
200_1090,dt_tfidf,ci_lower,0.627272727
200_1090,dt_tfidf,ci_upper,0.953373016
200_1090,dt_tfidf,std,0.083229124
200_1090,svc_tfidf,f1_mean,0.820560061
200_1090,svc_tfidf,ci_lower,0.642857143
200_1090,svc_tfidf,ci_upper,0.977852183
200_1090,svc_tfidf,std,0.086242386
200_1090,lsvc_tfidf,f1_mean,0.817297466
200_1090,lsvc_tfidf,ci_lower,0.642857143
200_1090,lsvc_tfidf,ci_upper,0.953373016
200_1090,lsvc_tfidf,std,0.080637929
200_1090,sgd_tfidf,f1_mean,0.814486016
200_1090,sgd_tfidf,ci_lower,0.642857143
200_1090,sgd_tfidf,ci_upper,0.953373016
200_1090,sgd_tfidf,std,0.082806199
200_1090,knn_tfidf,f1_mean,0.815516783
200_1090,knn_tfidf,ci_lower,0.601136364
200_1090,knn_tfidf,ci_upper,0.953373016
200_1090,knn_tfidf,std,0.09031584
200_2080,lr_tfidf,f1_mean,0.768417702
200_2080,lr_tfidf,ci_lower,0.600961538
200_2080,lr_tfidf,ci_upper,0.91140301
200_2080,lr_tfidf,std,0.080745081
200_2080,nb_tfidf,f1_mean,0.73188747
200_2080,nb_tfidf,ci_lower,0.560185185
200_2080,nb_tfidf,ci_upper,0.907258065
200_2080,nb_tfidf,std,0.095577758
200_2080,rf_tfidf,f1_mean,0.736378281
200_2080,rf_tfidf,ci_lower,0.539112727
200_2080,rf_tfidf,ci_upper,0.953373016
200_2080,rf_tfidf,std,0.101843465
200_2080,dt_tfidf,f1_mean,0.81989131
200_2080,dt_tfidf,ci_lower,0.700761803
200_2080,dt_tfidf,ci_upper,0.9375
200_2080,dt_tfidf,std,0.062111197
200_2080,svc_tfidf,f1_mean,0.787118567
200_2080,svc_tfidf,ci_lower,0.603989448
200_2080,svc_tfidf,ci_upper,0.931645585
200_2080,svc_tfidf,std,0.084669933
200_2080,lsvc_tfidf,f1_mean,0.813267292
200_2080,lsvc_tfidf,ci_lower,0.666226303
200_2080,lsvc_tfidf,ci_upper,0.9375
200_2080,lsvc_tfidf,std,0.069954796
200_2080,sgd_tfidf,f1_mean,0.845087937
200_2080,sgd_tfidf,ci_lower,0.702236201
200_2080,sgd_tfidf,ci_upper,0.945583821
200_2080,sgd_tfidf,std,0.062951099
200_2080,knn_tfidf,f1_mean,0.862718007
200_2080,knn_tfidf,ci_lower,0.712719298
200_2080,knn_tfidf,ci_upper,0.967624357
200_2080,knn_tfidf,std,0.065916205
200_3070,lr_tfidf,f1_mean,0.829762661
200_3070,lr_tfidf,ci_lower,0.666364734
200_3070,lr_tfidf,ci_upper,0.967469328
200_3070,lr_tfidf,std,0.074734028
200_3070,nb_tfidf,f1_mean,0.667869935
200_3070,nb_tfidf,ci_lower,0.458937198
200_3070,nb_tfidf,ci_upper,0.848214286
200_3070,nb_tfidf,std,0.10363481
200_3070,rf_tfidf,f1_mean,0.766308406
200_3070,rf_tfidf,ci_lower,0.587339744
200_3070,rf_tfidf,ci_upper,0.932407407
200_3070,rf_tfidf,std,0.090221699
200_3070,dt_tfidf,f1_mean,0.729384852
200_3070,dt_tfidf,ci_lower,0.575651569
200_3070,dt_tfidf,ci_upper,0.856444822
200_3070,dt_tfidf,std,0.072865789
200_3070,svc_tfidf,f1_mean,0.771198099
200_3070,svc_tfidf,ci_lower,0.587339744
200_3070,svc_tfidf,ci_upper,0.932407407
200_3070,svc_tfidf,std,0.088537836
200_3070,lsvc_tfidf,f1_mean,0.84331078
200_3070,lsvc_tfidf,ci_lower,0.691076338
200_3070,lsvc_tfidf,ci_upper,0.969408133
200_3070,lsvc_tfidf,std,0.070196855
200_3070,sgd_tfidf,f1_mean,0.774013239
200_3070,sgd_tfidf,ci_lower,0.619457178
200_3070,sgd_tfidf,ci_upper,0.908336316
200_3070,sgd_tfidf,std,0.07649473
200_3070,knn_tfidf,f1_mean,0.814169784
200_3070,knn_tfidf,ci_lower,0.663048077
200_3070,knn_tfidf,ci_upper,0.9375
200_3070,knn_tfidf,std,0.066854598
200_4060,lr_tfidf,f1_mean,0.671661092
200_4060,lr_tfidf,ci_lower,0.484050713
200_4060,lr_tfidf,ci_upper,0.833111273
200_4060,lr_tfidf,std,0.090417274
200_4060,nb_tfidf,f1_mean,0.482132084
200_4060,nb_tfidf,ci_lower,0.274774775
200_4060,nb_tfidf,ci_upper,0.668520487
200_4060,nb_tfidf,std,0.10479524
200_4060,rf_tfidf,f1_mean,0.477058193
200_4060,rf_tfidf,ci_lower,0.268826135
200_4060,rf_tfidf,ci_upper,0.708333333
200_4060,rf_tfidf,std,0.105029365
200_4060,dt_tfidf,f1_mean,0.687694311
200_4060,dt_tfidf,ci_lower,0.533541056
