sample size and proportion,classifier,auc
200_1090,lr_tfidf,0.333333333
200_1090,nb_tfidf,0.633333333
200_1090,rf_tfidf,0.6
200_1090,dt_tfidf,0.466666667
200_1090,svc_tfidf,0.433333333
200_1090,lsvc_tfidf,0.3
200_1090,sgd_tfidf,0.383333333
200_1090,knn_tfidf,0.383333333
200_1090,lr_w2v,0.733333333
200_2080,lr_tfidf,0.5
200_2080,nb_tfidf,0.506410256
200_2080,rf_tfidf,0.5
200_2080,dt_tfidf,0.647435897
200_2080,svc_tfidf,0.493589744
200_2080,lsvc_tfidf,0.480769231
200_2080,sgd_tfidf,0.519230769
200_2080,knn_tfidf,0.538461538
200_2080,lr_w2v,0.666666667
200_3070,lr_tfidf,0.384615385
200_3070,nb_tfidf,0.506410256
200_3070,rf_tfidf,0.307692308
200_3070,dt_tfidf,0.371794872
200_3070,svc_tfidf,0.346153846
200_3070,lsvc_tfidf,0.346153846
200_3070,sgd_tfidf,0.442307692
200_3070,knn_tfidf,0.365384615
200_3070,lr_w2v,0.538461538
200_4060,lr_tfidf,0.69140625
200_4060,nb_tfidf,0.7578125
200_4060,rf_tfidf,0.71484375
200_4060,dt_tfidf,0.46875
200_4060,svc_tfidf,0.77734375
200_4060,lsvc_tfidf,0.69921875
200_4060,sgd_tfidf,0.6875
200_4060,knn_tfidf,0.62109375
200_4060,lr_w2v,0.66796875
200_5050,lr_tfidf,0.655870445
200_5050,nb_tfidf,0.603238866
200_5050,rf_tfidf,0.570850202
200_5050,dt_tfidf,0.544534413
200_5050,svc_tfidf,0.344129555
200_5050,lsvc_tfidf,0.655870445
200_5050,sgd_tfidf,0.67611336
200_5050,knn_tfidf,0.593117409
200_5050,lr_w2v,0.489878543
400_1090,lr_tfidf,0.66779661
400_1090,nb_tfidf,0.715254237
400_1090,rf_tfidf,0.677966102
400_1090,dt_tfidf,0.583050847
400_1090,svc_tfidf,0.779661017
400_1090,lsvc_tfidf,0.715254237
400_1090,sgd_tfidf,0.698305085
400_1090,knn_tfidf,0.53220339
400_1090,lr_w2v,0.694915254
400_2080,lr_tfidf,0.65170068
400_2080,nb_tfidf,0.542857143
400_2080,rf_tfidf,0.614285714
400_2080,dt_tfidf,0.605442177
400_2080,svc_tfidf,0.587755102
