sample size and proportion,auc
200_1090,0.5
200_2080,0.5
200_3070,0.5
200_4060,0.766483516
200_5050,0.533248082
400_1090,0.5
400_2080,0.5
400_3070,0.5
400_4060,0.626984127
400_5050,0.679561573
500_1090,0.5
500_2080,0.595708639
500_3070,0.60976202
500_4060,0.645658263
500_5050,0.591954023
600_1090,0.5
600_2080,0.5
600_3070,0.564102564
600_4060,0.626598465
600_5050,0.625
800_1090,0.526315789
800_2080,0.619359968
800_3070,0.613689513
800_4060,0.588888889
800_5050,0.662907268
1000_1090,0.5
1000_2080,0.5
1000_3070,0.604662698
1000_4060,0.576825127
1000_5050,0.647035256
2000_1090,0.611111111
2000_2080,0.646778711
2000_3070,0.640603086
2000_4060,0.653707286
2000_5050,0.633083177
3000_1090,0.662962963
3000_2080,0.621567725
3000_3070,0.672222222
3000_4060,0.659594947
3000_5050,0.692659119
4000_1090,0.616288955
4000_2080,0.658584358
4000_3070,0.684444444
4000_4060,0.671038251
4000_5050,0.696401189
5000_1090,0.638456703
5000_2080,0.660169116
5000_3070,0.67552914
5000_4060,0.672955539
5000_5050,0.708466019
