sample size and proportion,f1-lowerCI-upperCI-SE
200_1090,0.855365416
200_1090,0.711111111
200_1090,0.962658228
200_1090,0.070487906
200_2080,0.585495971
200_2080,0.41984127
200_2080,0.745890411
200_2080,0.094996058
200_3070,0.549365767
200_3070,0.390322581
200_3070,0.745890411
200_3070,0.097142579
200_4060,0.810747278
200_4060,0.666144201
200_4060,0.947851773
200_4060,0.07038198
200_5050,0.52581615
200_5050,0.363889185
200_5050,0.680897232
200_5050,0.084671244
400_1090,0.798066009
400_1090,0.684892827
400_1090,0.888961039
400_1090,0.053871912
400_2080,0.660515653
400_2080,0.528007519
400_2080,0.798825503
400_2080,0.065710154
400_3070,0.530807561
400_3070,0.405
400_3070,0.676760563
400_3070,0.068981271
400_4060,0.633411373
400_4060,0.514962121
400_4060,0.744157175
400_4060,0.060346608
400_5050,0.648963907
400_5050,0.536903409
400_5050,0.755203543
400_5050,0.055162223
500_1090,0.85429604
500_1090,0.766956522
500_1090,0.925641026
500_1090,0.041971525
500_2080,0.753735718
500_2080,0.647956569
500_2080,0.847606924
500_2080,0.050814951
500_3070,0.709986862
500_3070,0.606492072
500_3070,0.808828585
500_3070,0.052314935
500_4060,0.635373255
500_4060,0.538910138
500_4060,0.733224242
500_4060,0.051197872
500_5050,0.577002302
500_5050,0.480910627
500_5050,0.663733682
500_5050,0.045654528
600_1090,0.841650957
600_1090,0.751440951
600_1090,0.913376252
600_1090,0.042211395
600_2080,0.691826982
600_2080,0.576470588
600_2080,0.792899851
600_2080,0.053085936
600_3070,0.616755201
600_3070,0.50608914
600_3070,0.726460811
600_3070,0.05468275
600_4060,0.641563279
600_4060,0.554266344
600_4060,0.722048533
600_4060,0.042872539
600_5050,0.621812625
600_5050,0.528265644
600_5050,0.710937886
600_5050,0.046605608
800_1090,0.842400442
800_1090,0.76928816
800_1090,0.912472944
800_1090,0.036333538
800_2080,0.745635297
800_2080,0.663699618
800_2080,0.825063273
800_2080,0.042517012
800_3070,0.694070368
800_3070,0.603456435
800_3070,0.778888889
800_3070,0.043751713
800_4060,0.58861919
800_4060,0.490911747
800_4060,0.67810299
800_4060,0.046419941
800_5050,0.665918212
800_5050,0.587751636
800_5050,0.737733061
800_5050,0.038414048
1000_1090,0.860648889
1000_1090,0.802386059
1000_1090,0.910927835
1000_1090,0.028654477
1000_2080,0.74134669
1000_2080,0.669943503
1000_2080,0.816666667
1000_2080,0.036349254
1000_3070,0.711729169
1000_3070,0.638464199
1000_3070,0.774185614
1000_3070,0.035934626
1000_4060,0.611694405
1000_4060,0.543151891
1000_4060,0.677508741
1000_4060,0.035105704
1000_5050,0.643619165
1000_5050,0.579703775
1000_5050,0.709606171
1000_5050,0.034823918
2000_1090,0.898374485
2000_1090,0.86472224
2000_1090,0.93173825
2000_1090,0.018168445
2000_2080,0.799704686
2000_2080,0.756667315
2000_2080,0.843249209
2000_2080,0.022621048
2000_3070,0.716657104
2000_3070,0.66401607
2000_3070,0.766964634
2000_3070,0.025058411
2000_4060,0.673275132
2000_4060,0.625642112
2000_4060,0.722017631
2000_4060,0.025057859
2000_5050,0.631539874
2000_5050,0.581346579
2000_5050,0.676836627
2000_5050,0.024186168
3000_1090,0.910729956
3000_1090,0.88156156
3000_1090,0.938932889
3000_1090,0.015034677
3000_2080,0.797331189
3000_2080,0.761852676
3000_2080,0.832992954
3000_2080,0.018959172
3000_3070,0.752431337
3000_3070,0.714452876
3000_3070,0.790567155
3000_3070,0.019668004
3000_4060,0.670738948
3000_4060,0.634550396
3000_4060,0.709055607
3000_4060,0.01933278
3000_5050,0.691698188
3000_5050,0.653571398
3000_5050,0.728110837
3000_5050,0.019027
4000_1090,0.907037679
4000_1090,0.882532505
4000_1090,0.930118582
4000_1090,0.012344038
4000_2080,0.838955111
4000_2080,0.809190043
4000_2080,0.869083327
4000_2080,0.01546049
4000_3070,0.771717416
4000_3070,0.741132671
4000_3070,0.801573352
4000_3070,0.015915618
4000_4060,0.704289701
4000_4060,0.672481779
4000_4060,0.737356135
4000_4060,0.016879371
4000_5050,0.698662358
4000_5050,0.6668309
4000_5050,0.728912094
4000_5050,0.015345448
5000_1090,0.912217542
5000_1090,0.890264931
5000_1090,0.932588348
5000_1090,0.010907627
5000_2080,0.826263297
5000_2080,0.799567701
5000_2080,0.854535103
5000_2080,0.013620191
5000_3070,0.746165186
5000_3070,0.717736101
5000_3070,0.772912979
5000_3070,0.014308491
5000_4060,0.692577248
5000_4060,0.66342667
5000_4060,0.721989132
5000_4060,0.01442888
5000_5050,0.707915384
5000_5050,0.682013985
5000_5050,0.734056145
5000_5050,0.013580833
