sample size and proportion,classifier,metric,precision,recall,f1-score,support
200_1090,lr_tfidf,0,0,0,0,2
200_1090,lr_tfidf,1,0.9375,1,0.967741935,30
200_1090,lr_tfidf,accuracy,0.9375,0.9375,0.9375,0.9375
200_1090,lr_tfidf,macro avg,0.46875,0.5,0.483870968,32
200_1090,lr_tfidf,weighted avg,0.87890625,0.9375,0.907258065,32
200_1090,nb_tfidf,0,0,0,0,2
200_1090,nb_tfidf,1,0.9375,1,0.967741935,30
200_1090,nb_tfidf,accuracy,0.9375,0.9375,0.9375,0.9375
200_1090,nb_tfidf,macro avg,0.46875,0.5,0.483870968,32
200_1090,nb_tfidf,weighted avg,0.87890625,0.9375,0.907258065,32
200_1090,rf_tfidf,0,0,0,0,2
200_1090,rf_tfidf,1,0.9375,1,0.967741935,30
200_1090,rf_tfidf,accuracy,0.9375,0.9375,0.9375,0.9375
200_1090,rf_tfidf,macro avg,0.46875,0.5,0.483870968,32
200_1090,rf_tfidf,weighted avg,0.87890625,0.9375,0.907258065,32
200_1090,dt_tfidf,0,0,0,0,2
200_1090,dt_tfidf,1,0.933333333,0.933333333,0.933333333,30
200_1090,dt_tfidf,accuracy,0.875,0.875,0.875,0.875
200_1090,dt_tfidf,macro avg,0.466666667,0.466666667,0.466666667,32
200_1090,dt_tfidf,weighted avg,0.875,0.875,0.875,32
200_1090,svc_tfidf,0,0,0,0,2
200_1090,svc_tfidf,1,0.9375,1,0.967741935,30
200_1090,svc_tfidf,accuracy,0.9375,0.9375,0.9375,0.9375
200_1090,svc_tfidf,macro avg,0.46875,0.5,0.483870968,32
200_1090,svc_tfidf,weighted avg,0.87890625,0.9375,0.907258065,32
200_1090,lsvc_tfidf,0,0,0,0,2
200_1090,lsvc_tfidf,1,0.9375,1,0.967741935,30
200_1090,lsvc_tfidf,accuracy,0.9375,0.9375,0.9375,0.9375
200_1090,lsvc_tfidf,macro avg,0.46875,0.5,0.483870968,32
200_1090,lsvc_tfidf,weighted avg,0.87890625,0.9375,0.907258065,32
200_1090,sgd_tfidf,0,0,0,0,2
200_1090,sgd_tfidf,1,0.9375,1,0.967741935,30
200_1090,sgd_tfidf,accuracy,0.9375,0.9375,0.9375,0.9375
200_1090,sgd_tfidf,macro avg,0.46875,0.5,0.483870968,32
200_1090,sgd_tfidf,weighted avg,0.87890625,0.9375,0.907258065,32
200_1090,knn_tfidf,0,0,0,0,2
200_1090,knn_tfidf,1,0.9375,1,0.967741935,30
200_1090,knn_tfidf,accuracy,0.9375,0.9375,0.9375,0.9375
200_1090,knn_tfidf,macro avg,0.46875,0.5,0.483870968,32
200_1090,knn_tfidf,weighted avg,0.87890625,0.9375,0.907258065,32
200_1090,lr_w2v,0,0,0,0,2
200_1090,lr_w2v,1,0.9375,1,0.967741935,30
200_1090,lr_w2v,accuracy,0.9375,0.9375,0.9375,0.9375
200_1090,lr_w2v,macro avg,0.46875,0.5,0.483870968,32
200_1090,lr_w2v,weighted avg,0.87890625,0.9375,0.907258065,32
200_2080,lr_tfidf,0,1,0.166666667,0.285714286,6
200_2080,lr_tfidf,1,0.838709677,1,0.912280702,26
200_2080,lr_tfidf,accuracy,0.84375,0.84375,0.84375,0.84375
200_2080,lr_tfidf,macro avg,0.919354839,0.583333333,0.598997494,32
200_2080,lr_tfidf,weighted avg,0.868951613,0.84375,0.794799499,32
200_2080,nb_tfidf,0,0,0,0,6
200_2080,nb_tfidf,1,0.8125,1,0.896551724,26
200_2080,nb_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_2080,nb_tfidf,macro avg,0.40625,0.5,0.448275862,32
200_2080,nb_tfidf,weighted avg,0.66015625,0.8125,0.728448276,32
200_2080,rf_tfidf,0,0,0,0,6
200_2080,rf_tfidf,1,0.8125,1,0.896551724,26
200_2080,rf_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_2080,rf_tfidf,macro avg,0.40625,0.5,0.448275862,32
200_2080,rf_tfidf,weighted avg,0.66015625,0.8125,0.728448276,32
200_2080,dt_tfidf,0,0.666666667,0.333333333,0.444444444,6
200_2080,dt_tfidf,1,0.862068966,0.961538462,0.909090909,26
200_2080,dt_tfidf,accuracy,0.84375,0.84375,0.84375,0.84375
200_2080,dt_tfidf,macro avg,0.764367816,0.647435897,0.676767677,32
200_2080,dt_tfidf,weighted avg,0.825431034,0.84375,0.821969697,32
200_2080,svc_tfidf,0,0,0,0,6
200_2080,svc_tfidf,1,0.8125,1,0.896551724,26
200_2080,svc_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_2080,svc_tfidf,macro avg,0.40625,0.5,0.448275862,32
200_2080,svc_tfidf,weighted avg,0.66015625,0.8125,0.728448276,32
200_2080,lsvc_tfidf,0,1,0.166666667,0.285714286,6
200_2080,lsvc_tfidf,1,0.838709677,1,0.912280702,26
