sample size and proportion,classifier,metric,val
200_1090,lr_tfidf,f1_mean,0.908126948
200_1090,lr_tfidf,ci_lower,0.772245763
200_1090,lr_tfidf,ci_upper,1
200_1090,lr_tfidf,std,0.062063927
200_1090,nb_tfidf,f1_mean,0.907237539
200_1090,nb_tfidf,ci_lower,0.772245763
200_1090,nb_tfidf,ci_upper,1
200_1090,nb_tfidf,std,0.06348067
200_1090,rf_tfidf,f1_mean,0.907479627
200_1090,rf_tfidf,ci_lower,0.772245763
200_1090,rf_tfidf,ci_upper,1
200_1090,rf_tfidf,std,0.06132161
200_1090,dt_tfidf,f1_mean,0.875981212
200_1090,dt_tfidf,ci_lower,0.740131579
200_1090,dt_tfidf,ci_upper,0.984126984
200_1090,dt_tfidf,std,0.062597372
200_1090,svc_tfidf,f1_mean,0.906477224
200_1090,svc_tfidf,ci_lower,0.772245763
200_1090,svc_tfidf,ci_upper,1
200_1090,svc_tfidf,std,0.067149646
200_1090,lsvc_tfidf,f1_mean,0.905698204
200_1090,lsvc_tfidf,ci_lower,0.772245763
200_1090,lsvc_tfidf,ci_upper,1
200_1090,lsvc_tfidf,std,0.058984061
200_1090,sgd_tfidf,f1_mean,0.911257436
200_1090,sgd_tfidf,ci_lower,0.772245763
200_1090,sgd_tfidf,ci_upper,1
200_1090,sgd_tfidf,std,0.056991864
200_1090,knn_tfidf,f1_mean,0.907963915
200_1090,knn_tfidf,ci_lower,0.772245763
200_1090,knn_tfidf,ci_upper,1
200_1090,knn_tfidf,std,0.062541096
200_2080,lr_tfidf,f1_mean,0.793441655
200_2080,lr_tfidf,ci_lower,0.642857143
200_2080,lr_tfidf,ci_upper,0.953373016
200_2080,lr_tfidf,std,0.08065343
200_2080,nb_tfidf,f1_mean,0.720262686
200_2080,nb_tfidf,ci_lower,0.52004717
200_2080,nb_tfidf,ci_upper,0.907258065
200_2080,nb_tfidf,std,0.09886224
200_2080,rf_tfidf,f1_mean,0.725604699
200_2080,rf_tfidf,ci_lower,0.560185185
200_2080,rf_tfidf,ci_upper,0.907258065
200_2080,rf_tfidf,std,0.094400569
200_2080,dt_tfidf,f1_mean,0.818019023
200_2080,dt_tfidf,ci_lower,0.665069042
200_2080,dt_tfidf,ci_upper,0.9375
200_2080,dt_tfidf,std,0.07556095
200_2080,svc_tfidf,f1_mean,0.730507568
200_2080,svc_tfidf,ci_lower,0.52004717
200_2080,svc_tfidf,ci_upper,0.907258065
200_2080,svc_tfidf,std,0.095394246
200_2080,lsvc_tfidf,f1_mean,0.792172763
200_2080,lsvc_tfidf,ci_lower,0.601136364
200_2080,lsvc_tfidf,ci_upper,0.943414352
200_2080,lsvc_tfidf,std,0.086277406
200_2080,sgd_tfidf,f1_mean,0.787678049
200_2080,sgd_tfidf,ci_lower,0.601136364
200_2080,sgd_tfidf,ci_upper,0.92816092
200_2080,sgd_tfidf,std,0.088429988
200_2080,knn_tfidf,f1_mean,0.840023222
200_2080,knn_tfidf,ci_lower,0.664153439
200_2080,knn_tfidf,ci_upper,0.96729798
200_2080,knn_tfidf,std,0.08053806
200_3070,lr_tfidf,f1_mean,0.650111224
200_3070,lr_tfidf,ci_lower,0.4725
200_3070,lr_tfidf,ci_upper,0.840517241
200_3070,lr_tfidf,std,0.093448146
200_3070,nb_tfidf,f1_mean,0.73178857
200_3070,nb_tfidf,ci_lower,0.560185185
200_3070,nb_tfidf,ci_upper,0.907258065
200_3070,nb_tfidf,std,0.095336609
200_3070,rf_tfidf,f1_mean,0.714578345
200_3070,rf_tfidf,ci_lower,0.536429608
200_3070,rf_tfidf,ci_upper,0.891393443
200_3070,rf_tfidf,std,0.091292101
200_3070,dt_tfidf,f1_mean,0.551473603
200_3070,dt_tfidf,ci_lower,0.392360322
200_3070,dt_tfidf,ci_upper,0.737750545
200_3070,dt_tfidf,std,0.089178694
200_3070,svc_tfidf,f1_mean,0.730338256
200_3070,svc_tfidf,ci_lower,0.560185185
200_3070,svc_tfidf,ci_upper,0.907258065
200_3070,svc_tfidf,std,0.095944509
200_3070,lsvc_tfidf,f1_mean,0.637857642
200_3070,lsvc_tfidf,ci_lower,0.4375
200_3070,lsvc_tfidf,ci_upper,0.822368421
200_3070,lsvc_tfidf,std,0.097445533
200_3070,sgd_tfidf,f1_mean,0.647058553
200_3070,sgd_tfidf,ci_lower,0.470347453
200_3070,sgd_tfidf,ci_upper,0.812140152
200_3070,sgd_tfidf,std,0.088248173
200_3070,knn_tfidf,f1_mean,0.668896973
200_3070,knn_tfidf,ci_lower,0.511658194
200_3070,knn_tfidf,ci_upper,0.840517241
200_3070,knn_tfidf,std,0.083239987
200_4060,lr_tfidf,f1_mean,0.583468697
200_4060,lr_tfidf,ci_lower,0.392696182
200_4060,lr_tfidf,ci_upper,0.768267181
200_4060,lr_tfidf,std,0.09842659
200_4060,nb_tfidf,f1_mean,0.609748373
200_4060,nb_tfidf,ci_lower,0.413419913
200_4060,nb_tfidf,ci_upper,0.786454241
200_4060,nb_tfidf,std,0.097149407
200_4060,rf_tfidf,f1_mean,0.402029774
200_4060,rf_tfidf,ci_lower,0.204545455
200_4060,rf_tfidf,ci_upper,0.607142857
200_4060,rf_tfidf,std,0.107408269
200_4060,dt_tfidf,f1_mean,0.453416741
200_4060,dt_tfidf,ci_lower,0.279119634
200_4060,dt_tfidf,ci_upper,0.653091427
200_4060,dt_tfidf,std,0.095847227
200_4060,svc_tfidf,f1_mean,0.560007721
200_4060,svc_tfidf,ci_lower,0.358734773
200_4060,svc_tfidf,ci_upper,0.757967836
200_4060,svc_tfidf,std,0.104307899
200_4060,lsvc_tfidf,f1_mean,0.584571726
200_4060,lsvc_tfidf,ci_lower,0.398364234
200_4060,lsvc_tfidf,ci_upper,0.781621595
